config,benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,vc_hit_rate,mc_lookups,mc_hits,mc_hit_rate,sb_lookups,sb_hits,sb_hit_rate,sb_prefetches,ul2_d_accesses,ul2_i_accesses,ul2_total_accesses,source_csv,dl1_cfg,ul2_cfg,dl1_bytes,ul2_bytes,vc_entries,mc_entries,sb_depth,ul2_demand,dl1_miss_base,ul2_miss_base,ul2_demand_base,cpi_base,dl1_miss_norm,ul2_miss_norm,ul2_demand_norm,cpi_norm
miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l,test-fmath,miss_stream,0.011,0.0282,1.0,53949,1,,0,0,,471,0,0.0,471,350,0.7431,847,968,592,1560.0,results/ss/miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv,dl1:1024:32:1:l,ul2:65536:64:4:l,32768.0,16777216.0,,8.0,8.0,1560.0,0.0282,1.0,1063.0,,1.0,1.0,1.4675446848541862,
miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l,test-llong,miss_stream,0.0101,0.0418,1.0,30132,1,,0,0,,440,0,0.0,440,346,0.7864,658,752,305,1057.0,results/ss/miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv,dl1:1024:32:1:l,ul2:65536:64:4:l,32768.0,16777216.0,,8.0,8.0,1057.0,0.0418,1.0,745.0,,1.0,1.0,1.4187919463087248,
miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l,test-lswlr,miss_stream,0.027,0.0909,1.0,9367,1,,0,0,,435,0,0.0,435,346,0.7954,623,712,253,965.0,results/ss/miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv,dl1:1024:32:1:l,ul2:65536:64:4:l,32768.0,16777216.0,,8.0,8.0,965.0,0.0909,1.0,688.0,,1.0,1.0,1.4026162790697674,
miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l,test-math,miss_stream,0.0042,0.0095,1.0,214193,1,,0,0,,544,0,0.0,544,371,0.682,1211,1395,907,2302.0,results/ss/miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv,dl1:1024:32:1:l,ul2:65536:64:4:l,32768.0,16777216.0,,8.0,8.0,2302.0,0.0095,1.0,1462.0,,1.0,1.0,1.5745554035567715,
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-fmath,miss_stream,0.011,0.1086,1.0,53949,1,,0,0,,1814,372,0.2051,1442,519,0.3599,13845,15900,592,16492.0,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv,dl1:16:32:1:l,ul2:32768:64:4:l,512.0,8388608.0,,4.0,16.0,16492.0,0.1086,1.0,3538.0,,1.0,1.0,4.661390616167326,
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-llong,miss_stream,0.0101,0.0628,1.0,30132,1,,0,0,,661,49,0.0741,612,408,0.6667,3060,3801,305,4106.0,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv,dl1:16:32:1:l,ul2:32768:64:4:l,512.0,8388608.0,,4.0,16.0,4106.0,0.0628,1.0,1503.0,,1.0,1.0,2.731869594145043,
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-lswlr,miss_stream,0.027,0.112,1.0,9367,1,,0,0,,536,47,0.0877,489,379,0.7751,1650,2226,253,2479.0,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv,dl1:16:32:1:l,ul2:32768:64:4:l,512.0,8388608.0,,4.0,16.0,2479.0,0.112,1.0,1255.0,,1.0,1.0,1.9752988047808766,
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-math,miss_stream,0.0042,0.134,1.0,214193,1,,0,0,,7710,2267,0.294,5443,1277,0.2346,62490,71168,907,72075.0,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv,dl1:16:32:1:l,ul2:32768:64:4:l,512.0,8388608.0,,4.0,16.0,72075.0,0.134,1.0,13129.0,,1.0,1.0,5.4897555030847744,
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-fmath,miss_stream,0.011,0.1086,1.0,53949,1,,0,0,,1814,372,0.2051,1442,519,0.3599,13845,15900,592,16492.0,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv,dl1:16:32:1:l,ul2:32768:64:4:l,512.0,8388608.0,,4.0,16.0,16492.0,0.1086,1.0,3538.0,,1.0,1.0,4.661390616167326,
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-llong,miss_stream,0.0101,0.0628,1.0,30132,1,,0,0,,661,49,0.0741,612,408,0.6667,3060,3801,305,4106.0,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv,dl1:16:32:1:l,ul2:32768:64:4:l,512.0,8388608.0,,4.0,16.0,4106.0,0.0628,1.0,1503.0,,1.0,1.0,2.731869594145043,
