benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,baseline,0.0110,0.1086,1.0000,53949,1,,0,0,0,0,0,0,0,2946,592
test-llong,baseline,0.0101,0.0628,1.0000,30132,1,,0,0,0,0,0,0,0,1198,305
test-lswlr,baseline,0.0270,0.1120,1.0000,9367,1,,0,0,0,0,0,0,0,1002,253
test-math,baseline,0.0042,0.1340,1.0000,214193,1,,0,0,0,0,0,0,0,12222,907
test-fmath,baseline,0.0110,0.1087,1.0000,53931,1,,0,0,0,0,0,0,0,2947,592
test-llong,baseline,0.0101,0.0629,1.0000,30114,1,,0,0,0,0,0,0,0,1199,305
test-lswlr,baseline,0.0271,0.1122,1.0000,9349,1,,0,0,0,0,0,0,0,1003,253
test-math,baseline,0.0042,0.1341,1.0000,214171,1,,0,0,0,0,0,0,0,12223,907
test-fmath,baseline,0.0110,0.1087,1.0000,53931,1,,0,0,0,0,0,0,0,2947,592
test-llong,baseline,0.0101,0.0629,1.0000,30114,1,,0,0,0,0,0,0,0,1199,305
test-lswlr,baseline,0.0271,0.1122,1.0000,9349,1,,0,0,0,0,0,0,0,1003,253
test-math,baseline,0.0042,0.1341,1.0000,214171,1,,0,0,0,0,0,0,0,12223,907
