benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,miss,0.0110,0.0468,1.0000,53949,1,,0,0,782,178,0,0,0,1179,592
test-llong,miss,0.0101,0.0518,1.0000,30132,1,,0,0,545,57,0,0,0,917,305
test-lswlr,miss,0.0270,0.1016,1.0000,9367,1,,0,0,486,16,0,0,0,868,253
test-math,miss,0.0042,0.0353,1.0000,214193,1,,0,0,2032,479,0,0,0,2880,907
test-fmath,miss,0.0110,0.0469,1.0000,53931,1,,0,0,783,178,0,0,0,1180,592
test-llong,miss,0.0101,0.0519,1.0000,30114,1,,0,0,546,57,0,0,0,918,305
test-lswlr,miss,0.0271,0.1018,1.0000,9349,1,,0,0,487,16,0,0,0,869,253
test-math,miss,0.0042,0.0353,1.0000,214171,1,,0,0,2033,479,0,0,0,2881,907
test-fmath,miss,0.0110,0.0469,1.0000,53931,1,,0,0,783,178,0,0,0,1180,592
test-llong,miss,0.0101,0.0519,1.0000,30114,1,,0,0,546,57,0,0,0,918,305
test-lswlr,miss,0.0271,0.1018,1.0000,9349,1,,0,0,487,16,0,0,0,869,253
test-math,miss,0.0042,0.0353,1.0000,214171,1,,0,0,2033,479,0,0,0,2881,907
