config,benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,vc_hit_rate,mc_lookups,mc_hits,mc_hit_rate,sb_lookups,sb_hits,sb_hit_rate,sb_prefetches,ul2_d_accesses,ul2_i_accesses,ul2_total_accesses,source_csv
miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l,test-fmath,miss_stream,0.0110,0.0282,1.0000,53949,1,,0,0,,471,0,0.0000,471,350,0.7431,847,968,592,1560,results/ss/miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l,test-llong,miss_stream,0.0101,0.0418,1.0000,30132,1,,0,0,,440,0,0.0000,440,346,0.7864,658,752,305,1057,results/ss/miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l,test-lswlr,miss_stream,0.0270,0.0909,1.0000,9367,1,,0,0,,435,0,0.0000,435,346,0.7954,623,712,253,965,results/ss/miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l,test-math,miss_stream,0.0042,0.0095,1.0000,214193,1,,0,0,,544,0,0.0000,544,371,0.6820,1211,1395,907,2302,results/ss/miss_stream_mc8_d8__dl1:1024:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-fmath,miss_stream,0.0110,0.1086,1.0000,53949,1,,0,0,,1814,372,0.2051,1442,519,0.3599,13845,15900,592,16492,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-llong,miss_stream,0.0101,0.0628,1.0000,30132,1,,0,0,,661,49,0.0741,612,408,0.6667,3060,3801,305,4106,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-lswlr,miss_stream,0.0270,0.1120,1.0000,9367,1,,0,0,,536,47,0.0877,489,379,0.7751,1650,2226,253,2479,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-math,miss_stream,0.0042,0.1340,1.0000,214193,1,,0,0,,7710,2267,0.2940,5443,1277,0.2346,62490,71168,907,72075,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-fmath,miss_stream,0.0110,0.1086,1.0000,53949,1,,0,0,,1814,372,0.2051,1442,519,0.3599,13845,15900,592,16492,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-llong,miss_stream,0.0101,0.0628,1.0000,30132,1,,0,0,,661,49,0.0741,612,408,0.6667,3060,3801,305,4106,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-lswlr,miss_stream,0.0270,0.1120,1.0000,9367,1,,0,0,,536,47,0.0877,489,379,0.7751,1650,2226,253,2479,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l,test-math,miss_stream,0.0042,0.1340,1.0000,214193,1,,0,0,,7710,2267,0.2940,5443,1277,0.2346,62490,71168,907,72075,results/ss/miss_stream_mc4_d16__dl1:16:32:1:l__ul2:32768:64:4:l/ss_miss_stream.csv
stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l,test-fmath,stream,0.0110,0.0282,1.0000,53949,1,,0,0,,0,0,,471,376,0.7983,1425,1520,592,2112,results/ss/stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l/ss_stream.csv
stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l,test-llong,stream,0.0101,0.0418,1.0000,30132,1,,0,0,,0,0,,440,372,0.8455,1020,1088,305,1393,results/ss/stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l/ss_stream.csv
stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l,test-lswlr,stream,0.0270,0.0909,1.0000,9367,1,,0,0,,0,0,,435,371,0.8529,960,1024,253,1277,results/ss/stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l/ss_stream.csv
stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l,test-math,stream,0.0042,0.0095,1.0000,214193,1,,0,0,,0,0,,544,398,0.7316,2190,2347,907,3254,results/ss/stream_d16__dl1:1024:32:1:l__ul2:32768:64:4:l/ss_stream.csv
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-fmath,miss_stream,0.0110,0.1086,1.0000,53949,1,,0,0,,1814,391,0.2155,1423,470,0.3303,6671,8756,592,9348,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-llong,miss_stream,0.0101,0.0628,1.0000,30132,1,,0,0,,661,46,0.0696,615,381,0.6195,1638,2409,305,2714,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-lswlr,miss_stream,0.0270,0.1120,1.0000,9367,1,,0,0,,536,47,0.0877,489,353,0.7219,952,1554,253,1807,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-math,miss_stream,0.0042,0.1340,1.0000,214193,1,,0,0,,7710,2356,0.3056,5354,1069,0.1997,29995,38792,907,39699,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-fmath,miss_stream,0.0110,0.1086,1.0000,53949,1,,0,0,,1814,391,0.2155,1423,470,0.3303,6671,8756,592,9348,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-llong,miss_stream,0.0101,0.0628,1.0000,30132,1,,0,0,,661,46,0.0696,615,381,0.6195,1638,2409,305,2714,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-lswlr,miss_stream,0.0270,0.1120,1.0000,9367,1,,0,0,,536,47,0.0877,489,353,0.7219,952,1554,253,1807,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l,test-math,miss_stream,0.0042,0.1340,1.0000,214193,1,,0,0,,7710,2356,0.3056,5354,1069,0.1997,29995,38792,907,39699,results/ss/miss_stream_mc4_d8__dl1:16:32:1:l__ul2:65536:64:4:l/ss_miss_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-fmath,victim_stream,0.0110,0.0468,1.0000,53949,1,,782,80,0.1023,0,0,,702,320,0.4558,1146,2103,592,2695,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-llong,victim_stream,0.0101,0.0518,1.0000,30132,1,,545,23,0.0422,0,0,,522,306,0.5862,648,1293,305,1598,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-lswlr,victim_stream,0.0270,0.1016,1.0000,9367,1,,486,9,0.0185,0,0,,477,301,0.6310,528,1102,253,1355,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-math,victim_stream,0.0042,0.0353,1.0000,214193,1,,2032,229,0.1127,0,0,,1803,401,0.2224,4206,6935,907,7842,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-fmath,victim_stream,0.0110,0.0468,1.0000,53949,1,,782,80,0.1023,0,0,,702,320,0.4558,1146,2103,592,2695,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-llong,victim_stream,0.0101,0.0518,1.0000,30132,1,,545,23,0.0422,0,0,,522,306,0.5862,648,1293,305,1598,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-lswlr,victim_stream,0.0270,0.1016,1.0000,9367,1,,486,9,0.0185,0,0,,477,301,0.6310,528,1102,253,1355,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-math,victim_stream,0.0042,0.0353,1.0000,214193,1,,2032,229,0.1127,0,0,,1803,401,0.2224,4206,6935,907,7842,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-fmath,victim_stream,0.0110,0.0468,1.0000,53949,1,,782,80,0.1023,0,0,,702,320,0.4558,1146,2103,592,2695,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-llong,victim_stream,0.0101,0.0518,1.0000,30132,1,,545,23,0.0422,0,0,,522,306,0.5862,648,1293,305,1598,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-lswlr,victim_stream,0.0270,0.1016,1.0000,9367,1,,486,9,0.0185,0,0,,477,301,0.6310,528,1102,253,1355,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l,test-math,victim_stream,0.0042,0.0353,1.0000,214193,1,,2032,229,0.1127,0,0,,1803,401,0.2224,4206,6935,907,7842,results/ss/victim_stream_vc4_d4__dl1:64:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc8_d16__dl1:1024:32:1:l__ul2:16384:64:4:l,test-fmath,victim_stream,0.0110,0.0282,1.0000,53949,1,,471,0,0.0000,0,0,,471,376,0.7983,1425,1520,592,2112,results/ss/victim_stream_vc8_d16__dl1:1024:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc8_d16__dl1:1024:32:1:l__ul2:16384:64:4:l,test-llong,victim_stream,0.0101,0.0418,1.0000,30132,1,,440,0,0.0000,0,0,,440,372,0.8455,1020,1088,305,1393,results/ss/victim_stream_vc8_d16__dl1:1024:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc8_d16__dl1:1024:32:1:l__ul2:16384:64:4:l,test-lswlr,victim_stream,0.0270,0.0909,1.0000,9367,1,,435,0,0.0000,0,0,,435,371,0.8529,960,1024,253,1277,results/ss/victim_stream_vc8_d16__dl1:1024:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
victim_stream_vc8_d16__dl1:1024:32:1:l__ul2:16384:64:4:l,test-math,victim_stream,0.0042,0.0095,1.0000,214193,1,,544,0,0.0000,0,0,,544,398,0.7316,2190,2347,907,3254,results/ss/victim_stream_vc8_d16__dl1:1024:32:1:l__ul2:16384:64:4:l/ss_victim_stream.csv
