benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,victim_stream,0.0110,0.1086,1.0000,53949,1,,1814,281,0,0,1533,484,7343,9524,592
test-llong,victim_stream,0.0101,0.0628,1.0000,30132,1,,661,32,0,0,629,381,1736,2521,305
test-lswlr,victim_stream,0.0270,0.1120,1.0000,9367,1,,536,29,0,0,507,353,1078,1698,253
test-math,victim_stream,0.0042,0.1340,1.0000,214193,1,,7710,1525,0,0,6185,1071,35798,45424,907
test-fmath,victim_stream,0.0110,0.1086,1.0000,53949,1,,1814,281,0,0,1533,484,7343,9524,592
test-llong,victim_stream,0.0101,0.0628,1.0000,30132,1,,661,32,0,0,629,381,1736,2521,305
test-lswlr,victim_stream,0.0270,0.1120,1.0000,9367,1,,536,29,0,0,507,353,1078,1698,253
test-math,victim_stream,0.0042,0.1340,1.0000,214193,1,,7710,1525,0,0,6185,1071,35798,45424,907
test-fmath,victim_stream,0.0110,0.1087,1.0000,53931,1,,1815,281,0,0,1534,485,7343,9524,592
test-llong,victim_stream,0.0101,0.0629,1.0000,30114,1,,662,32,0,0,630,382,1736,2521,305
test-lswlr,victim_stream,0.0271,0.1122,1.0000,9349,1,,537,29,0,0,508,354,1078,1698,253
test-math,victim_stream,0.0042,0.1341,1.0000,214171,1,,7711,1525,0,0,6186,1072,35798,45424,907
test-fmath,victim_stream,0.0110,0.1087,1.0000,53931,1,,1815,281,0,0,1534,485,7343,9524,592
test-llong,victim_stream,0.0101,0.0629,1.0000,30114,1,,662,32,0,0,630,382,1736,2521,305
test-lswlr,victim_stream,0.0271,0.1122,1.0000,9349,1,,537,29,0,0,508,354,1078,1698,253
test-math,victim_stream,0.0042,0.1341,1.0000,214171,1,,7711,1525,0,0,6186,1072,35798,45424,907
test-fmath,victim_stream,0.0110,0.1087,1.0000,53931,1,,1815,281,0,0,1534,485,7343,9524,592
test-llong,victim_stream,0.0101,0.0629,1.0000,30114,1,,662,32,0,0,630,382,1736,2521,305
test-lswlr,victim_stream,0.0271,0.1122,1.0000,9349,1,,537,29,0,0,508,354,1078,1698,253
test-math,victim_stream,0.0042,0.1341,1.0000,214171,1,,7711,1525,0,0,6186,1072,35798,45424,907
test-fmath,victim_stream,0.0110,0.1087,1.0000,53931,1,,1815,281,0,0,1534,485,7343,9524,592
test-llong,victim_stream,0.0101,0.0629,1.0000,30114,1,,662,32,0,0,630,382,1736,2521,305
test-lswlr,victim_stream,0.0271,0.1122,1.0000,9349,1,,537,29,0,0,508,354,1078,1698,253
test-math,victim_stream,0.0042,0.1341,1.0000,214171,1,,7711,1525,0,0,6186,1072,35798,45424,907
