benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,victim,0.0110,0.1086,1.0000,53949,1,,1814,258,0,0,0,0,0,2688,592
test-llong,victim,0.0101,0.0628,1.0000,30132,1,,661,35,0,0,0,0,0,1163,305
test-lswlr,victim,0.0270,0.1120,1.0000,9367,1,,536,29,0,0,0,0,0,973,253
test-math,victim,0.0042,0.1340,1.0000,214193,1,,7710,1546,0,0,0,0,0,10676,907
test-fmath,victim,0.0110,0.1087,1.0000,53931,1,,1815,258,0,0,0,0,0,2689,592
test-llong,victim,0.0101,0.0629,1.0000,30114,1,,662,35,0,0,0,0,0,1164,305
test-lswlr,victim,0.0271,0.1122,1.0000,9349,1,,537,29,0,0,0,0,0,974,253
test-math,victim,0.0042,0.1341,1.0000,214171,1,,7711,1546,0,0,0,0,0,10677,907
test-fmath,victim,0.0110,0.1087,1.0000,53931,1,,1815,258,0,0,0,0,0,2689,592
test-llong,victim,0.0101,0.0629,1.0000,30114,1,,662,35,0,0,0,0,0,1164,305
test-lswlr,victim,0.0271,0.1122,1.0000,9349,1,,537,29,0,0,0,0,0,974,253
test-math,victim,0.0042,0.1341,1.0000,214171,1,,7711,1546,0,0,0,0,0,10677,907
