benchmark,x,y,ul2_bytes
test-fmath,32768,0.0282,4194304
test-llong,32768,0.0418,4194304
test-lswlr,32768,0.0909,4194304
test-math,32768,0.0095,4194304
test-fmath,2048,0.0468,16777216
test-llong,2048,0.0518,16777216
test-lswlr,2048,0.1016,16777216
test-math,2048,0.0353,16777216
test-fmath,8192,0.0347,2097152
test-llong,8192,0.0457,2097152
test-lswlr,8192,0.0963,2097152
test-math,8192,0.014,2097152
test-fmath,512,0.1086,2097152
test-llong,512,0.0628,2097152
test-lswlr,512,0.112,2097152
test-math,512,0.134,2097152
test-fmath,32768,0.0282,8388608
test-llong,32768,0.0418,8388608
test-lswlr,32768,0.0909,8388608
test-math,32768,0.0095,8388608
test-fmath,2048,0.0468,8388608
test-llong,2048,0.0518,8388608
test-lswlr,2048,0.1016,8388608
test-math,2048,0.0353,8388608
test-fmath,512,0.1086,16777216
test-llong,512,0.0628,16777216
test-lswlr,512,0.112,16777216
test-math,512,0.134,16777216
test-fmath,32768,0.0282,16777216
test-llong,32768,0.0418,16777216
test-lswlr,32768,0.0909,16777216
test-math,32768,0.0095,16777216
test-fmath,512,0.1086,8388608
test-llong,512,0.0628,8388608
test-lswlr,512,0.112,8388608
test-math,512,0.134,8388608
test-fmath,512,0.1086,4194304
test-llong,512,0.0628,4194304
test-lswlr,512,0.112,4194304
test-math,512,0.134,4194304
test-fmath,8192,0.0347,16777216
test-llong,8192,0.0457,16777216
test-lswlr,8192,0.0963,16777216
test-math,8192,0.014,16777216
test-fmath,8192,0.0347,4194304
test-llong,8192,0.0457,4194304
test-lswlr,8192,0.0963,4194304
test-math,8192,0.014,4194304
test-fmath,32768,0.0282,2097152
test-llong,32768,0.0418,2097152
test-lswlr,32768,0.0909,2097152
test-math,32768,0.0095,2097152
test-fmath,8192,0.0347,8388608
test-llong,8192,0.0457,8388608
test-lswlr,8192,0.0963,8388608
test-math,8192,0.014,8388608
test-fmath,2048,0.0468,2097152
test-llong,2048,0.0518,2097152
test-lswlr,2048,0.1016,2097152
test-math,2048,0.0353,2097152
test-fmath,2048,0.0468,4194304
test-llong,2048,0.0518,4194304
test-lswlr,2048,0.1016,4194304
test-math,2048,0.0353,4194304
