benchmark,x,y
test-fmath,2.0,0.12758620689655173
test-fmath,4.0,0.12931034482758622
test-fmath,8.0,0.12586206896551724
test-fmath,16.0,0.12586206896551724
test-llong,2.0,0.02286902286902287
test-llong,4.0,0.02079002079002079
test-llong,8.0,0.02079002079002079
test-llong,16.0,0.02079002079002079
test-lswlr,2.0,0.0
test-lswlr,4.0,0.0
test-lswlr,8.0,0.0
test-lswlr,16.0,0.0
test-math,2.0,0.19230769230769232
test-math,4.0,0.20471464019851116
test-math,8.0,0.20719602977667495
test-math,16.0,0.20843672456575682
