benchmark,x,y
test-fmath,2.0,0.06551724137931035
test-fmath,4.0,0.06551724137931035
test-fmath,8.0,0.06551724137931035
test-fmath,16.0,0.06551724137931035
test-llong,2.0,0.012474012474012475
test-llong,4.0,0.010395010395010396
test-llong,8.0,0.010395010395010396
test-llong,16.0,0.010395010395010396
test-lswlr,2.0,0.0
test-lswlr,4.0,0.0
test-lswlr,8.0,0.0
test-lswlr,16.0,0.0
test-math,2.0,0.12531017369727046
test-math,4.0,0.12406947890818859
test-math,8.0,0.12406947890818859
test-math,16.0,0.12406947890818859
