mode,benchmark,dl1_bytes,ul2_bytes,sb_lookups,ul2_demand,sb_hit_rate
miss_stream,test-fmath,32768,16777216,471,1560.0,0.7431
miss_stream,test-llong,32768,16777216,440,1057.0,0.7864
miss_stream,test-lswlr,32768,16777216,435,965.0,0.7954
miss_stream,test-math,32768,16777216,544,2302.0,0.682
miss_stream,test-fmath,512,8388608,1442,16492.0,0.3599
miss_stream,test-llong,512,8388608,612,4106.0,0.6667
miss_stream,test-lswlr,512,8388608,489,2479.0,0.7751
miss_stream,test-math,512,8388608,5443,72075.0,0.2346
miss_stream,test-fmath,512,8388608,1442,16492.0,0.3599
miss_stream,test-llong,512,8388608,612,4106.0,0.6667
miss_stream,test-lswlr,512,8388608,489,2479.0,0.7751
miss_stream,test-math,512,8388608,5443,72075.0,0.2346
stream,test-fmath,32768,8388608,471,2112.0,0.7983
stream,test-llong,32768,8388608,440,1393.0,0.8455
stream,test-lswlr,32768,8388608,435,1277.0,0.8529
stream,test-math,32768,8388608,544,3254.0,0.7316
miss_stream,test-fmath,512,16777216,1423,9348.0,0.3303
miss_stream,test-llong,512,16777216,615,2714.0,0.6195
miss_stream,test-lswlr,512,16777216,489,1807.0,0.7219
miss_stream,test-math,512,16777216,5354,39699.0,0.1997
miss_stream,test-fmath,512,16777216,1423,9348.0,0.3303
miss_stream,test-llong,512,16777216,615,2714.0,0.6195
miss_stream,test-lswlr,512,16777216,489,1807.0,0.7219
miss_stream,test-math,512,16777216,5354,39699.0,0.1997
victim_stream,test-fmath,2048,4194304,702,2695.0,0.4558
victim_stream,test-llong,2048,4194304,522,1598.0,0.5862
victim_stream,test-lswlr,2048,4194304,477,1355.0,0.631
victim_stream,test-math,2048,4194304,1803,7842.0,0.2224
victim_stream,test-fmath,2048,4194304,702,2695.0,0.4558
victim_stream,test-llong,2048,4194304,522,1598.0,0.5862
victim_stream,test-lswlr,2048,4194304,477,1355.0,0.631
victim_stream,test-math,2048,4194304,1803,7842.0,0.2224
victim_stream,test-fmath,2048,4194304,702,2695.0,0.4558
victim_stream,test-llong,2048,4194304,522,1598.0,0.5862
victim_stream,test-lswlr,2048,4194304,477,1355.0,0.631
victim_stream,test-math,2048,4194304,1803,7842.0,0.2224
victim_stream,test-fmath,32768,4194304,471,2112.0,0.7983
victim_stream,test-llong,32768,4194304,440,1393.0,0.8455
victim_stream,test-lswlr,32768,4194304,435,1277.0,0.8529
victim_stream,test-math,32768,4194304,544,3254.0,0.7316
miss_stream,test-fmath,8192,16777216,510,1482.0,0.3902
miss_stream,test-llong,8192,16777216,475,1063.0,0.4189
miss_stream,test-lswlr,8192,16777216,461,965.0,0.436
miss_stream,test-math,8192,16777216,804,2487.0,0.2761
miss_stream,test-fmath,8192,16777216,510,1482.0,0.3902
miss_stream,test-llong,8192,16777216,475,1063.0,0.4189
miss_stream,test-lswlr,8192,16777216,461,965.0,0.436
miss_stream,test-math,8192,16777216,804,2487.0,0.2761
victim_stream,test-fmath,512,8388608,1482,6064.0,0.2679
victim_stream,test-llong,512,8388608,617,1982.0,0.5381
victim_stream,test-lswlr,512,8388608,501,1515.0,0.6028
victim_stream,test-math,512,8388608,5684,25011.0,0.1383
victim_stream,test-fmath,512,8388608,1482,6064.0,0.2679
victim_stream,test-llong,512,8388608,617,1982.0,0.5381
victim_stream,test-lswlr,512,8388608,501,1515.0,0.6028
victim_stream,test-math,512,8388608,5684,25011.0,0.1383
miss_stream,test-fmath,32768,4194304,471,2112.0,0.7983
miss_stream,test-llong,32768,4194304,440,1393.0,0.8455
miss_stream,test-lswlr,32768,4194304,435,1277.0,0.8529
miss_stream,test-math,32768,4194304,544,3254.0,0.7316
victim_stream,test-fmath,512,16777216,1363,5724.0,0.2663
victim_stream,test-llong,512,16777216,603,1946.0,0.5423
victim_stream,test-lswlr,512,16777216,499,1507.0,0.6052
victim_stream,test-math,512,16777216,5051,23079.0,0.1259
victim_stream,test-fmath,512,16777216,1363,5724.0,0.2663
victim_stream,test-llong,512,16777216,603,1946.0,0.5423
victim_stream,test-lswlr,512,16777216,499,1507.0,0.6052
victim_stream,test-math,512,16777216,5051,23079.0,0.1259
victim_stream,test-fmath,8192,8388608,542,3452.0,0.7011
victim_stream,test-llong,8192,8388608,476,2095.0,0.792
victim_stream,test-lswlr,8192,8388608,461,1821.0,0.8134
victim_stream,test-math,8192,8388608,804,7291.0,0.5361
victim_stream,test-fmath,8192,8388608,542,3452.0,0.7011
victim_stream,test-llong,8192,8388608,476,2095.0,0.792
victim_stream,test-lswlr,8192,8388608,461,1821.0,0.8134
victim_stream,test-math,8192,8388608,804,7291.0,0.5361
miss_stream,test-fmath,32768,8388608,471,1138.0,0.4204
miss_stream,test-llong,32768,8388608,440,789.0,0.45
miss_stream,test-lswlr,32768,8388608,435,725.0,0.4575
miss_stream,test-math,32768,8388608,544,1586.0,0.386
stream,test-fmath,8192,4194304,580,1620.0,0.3448
stream,test-llong,8192,4194304,481,1073.0,0.4158
